Drug_ID,SMILES,Affinity_Score
Virtual_Drug_09835,NC(=N)c1ccc(cc1)CCCCCCN,-5.4
Virtual_Drug_05989,NC(=N)c1ccc(cc1)CCCCCCCCCl,-5.4
Virtual_Drug_00334,NC(=N)c1ccc(cc1)CCCCCCN,-5.4
Virtual_Drug_01994,NC(=N)c1ccc(cc1)CCCCCCCCCl,-5.4
Virtual_Drug_02038,NC(=N)c1ccc(cc1)CCCCCCO,-5.4
Virtual_Drug_06154,NC(=N)c1ccc(cc1)CCCCCN,-5.4
Virtual_Drug_06023,NC(=N)c1ccc(cc1)CCCCCCN,-5.4
Virtual_Drug_04176,NC(=N)c1ccc(cc1)CCCCCCN,-5.4
Virtual_Drug_04131,NC(=N)c1ccc(cc1)CCCCCCCCCl,-5.4
Virtual_Drug_06720,NC(=N)c1ccc(cc1)CCCCCCCCCl,-5.4
Virtual_Drug_06750,NC(=N)c1ccc(cc1)CCCCCCN,-5.4
Virtual_Drug_06296,NC(=N)c1ccc(cc1)CCCCCCN,-5.4
Virtual_Drug_02396,NC(=N)c1ccc(cc1)CCCCCCN,-5.4
Virtual_Drug_00137,NC(=N)c1ccc(cc1)CCCCCCO,-5.4
Virtual_Drug_03947,NC(=N)c1ccc(cc1)CCCCN,-5.3
Virtual_Drug_03946,NC(=N)c1ccc(cc1)CCCCCCCCl,-5.3
Virtual_Drug_09956,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_09982,NC(=N)c1ccc(cc1)CCCCCCO,-5.3
Virtual_Drug_09981,NC(=N)c1ccc(cc1)CCCCN,-5.3
Virtual_Drug_09969,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_00029,NC(=N)c1ccc(cc1)CCCCO,-5.3
Virtual_Drug_03961,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_03957,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_03909,NC(=N)c1ccc(cc1)CCCCCCCCl,-5.3
Virtual_Drug_03980,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_00046,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_00045,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_00041,NC(=N)c1ccc(cc1)CCCCCF,-5.3
Virtual_Drug_05028,NC(=N)c1ccc(cc1)CCCCCCCCCl,-5.3
Virtual_Drug_03261,NC(=N)c1ccc(cc1)CCN,-5.3
Virtual_Drug_06452,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_02325,NC(=N)c1ccc(cc1)CCCCCO,-5.3
Virtual_Drug_06408,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_06406,NC(=N)c1ccc(cc1)CCCCO,-5.3
Virtual_Drug_06401,NC(=N)c1ccc(cc1)CCN,-5.3
Virtual_Drug_06446,NC(=N)c1ccc(cc1)CCCCCN,-5.3
Virtual_Drug_09935,NC(=N)c1ccc(cc1)CCCCN,-5.3
Virtual_Drug_09926,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_00058,NC(=N)c1ccc(cc1)CCCCCCN,-5.3
Virtual_Drug_00057,NC(=N)c1ccc(cc1)CCCCCCO,-5.3
Virtual_Drug_00051,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_09949,NC(=N)c1ccc(cc1)CCCCO,-5.3
Virtual_Drug_09991,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_09967,NC(=N)c1ccc(cc1)CCCCCN,-5.3
Virtual_Drug_09961,NC(=N)c1ccc(cc1)CCCCCN,-5.3
Virtual_Drug_00007,NC(=N)c1ccc(cc1)CCN,-5.3
Virtual_Drug_02220,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_06639,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_00145,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_09814,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_00140,NC(=N)c1ccc(cc1)CCCCCCN,-5.3
Virtual_Drug_00135,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_04046,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_04042,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_04034,NC(=N)c1ccc(cc1)CCCCCN,-5.3
Virtual_Drug_02399,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_02388,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_06302,NC(=N)c1ccc(cc1)CCCCCCCCF,-5.3
Virtual_Drug_06567,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_06223,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_06238,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_06235,NC(=N)c1ccc(cc1)CCCCCN,-5.3
Virtual_Drug_02423,NC(=N)c1ccc(cc1)CCCCO,-5.3
Virtual_Drug_06628,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_02208,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_02206,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_04070,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_03852,NC(=N)c1ccc(cc1)CCCCCCO,-5.3
Virtual_Drug_09786,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_09779,NC(=N)c1ccc(cc1)CCCCCCN,-5.3
Virtual_Drug_06606,NC(=N)c1ccc(cc1)CCCCCN,-5.3
Virtual_Drug_06247,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_06620,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_06616,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_06615,NC(=N)c1ccc(cc1)CCCCCCCCl,-5.3
Virtual_Drug_06698,NC(=N)c1ccc(cc1)CCCCCCCCCl,-5.3
Virtual_Drug_02171,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_06183,NC(=N)c1ccc(cc1)CCCCN,-5.3
Virtual_Drug_04113,NC(=N)c1ccc(cc1)CCCCCCCCCl,-5.3
Virtual_Drug_04139,NC(=N)c1ccc(cc1)CCCCCCCCCl,-5.3
Virtual_Drug_00167,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_09776,NC(=N)c1ccc(cc1)CCCCCCN,-5.3
Virtual_Drug_09773,NC(=N)c1ccc(cc1)CCO,-5.3
Virtual_Drug_09768,NC(=N)c1ccc(cc1)CCCCCN,-5.3
Virtual_Drug_09764,NC(=N)c1ccc(cc1)CCCCCO,-5.3
Virtual_Drug_04072,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_06641,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_06659,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_02177,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_06202,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_02447,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_02140,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_09743,NC(=N)c1ccc(cc1)CCCCCCO,-5.3
Virtual_Drug_09757,NC(=N)c1ccc(cc1)CCCCCCN,-5.3
Virtual_Drug_09746,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_09745,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_04102,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_02459,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_02454,NC(=N)c1ccc(cc1)CCCCCCCCCl,-5.3
Virtual_Drug_02452,NC(=N)c1ccc(cc1)CCCCO,-5.3
Virtual_Drug_06719,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_06709,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_02443,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_02441,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_06687,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_09727,NC(=N)c1ccc(cc1)CCCCCCCCF,-5.3
Virtual_Drug_09724,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_04137,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_03812,NC(=N)c1ccc(cc1)CCCCO,-5.3
Virtual_Drug_09715,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_00205,NC(=N)c1ccc(cc1)CCCCCCN,-5.3
Virtual_Drug_06748,NC(=N)c1ccc(cc1)CCCCN,-5.3
Virtual_Drug_06745,NC(=N)c1ccc(cc1)CCCCO,-5.3
Virtual_Drug_06739,NC(=N)c1ccc(cc1)CCCCCCCCCl,-5.3
Virtual_Drug_02128,NC(=N)c1ccc(cc1)CCCCCCN,-5.3
Virtual_Drug_06133,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_06129,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_02475,NC(=N)c1ccc(cc1)CCCCCCO,-5.3
Virtual_Drug_06191,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_02502,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_06808,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_02095,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_04145,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_04170,NC(=N)c1ccc(cc1)CCCCCCCCl,-5.3
Virtual_Drug_03799,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_09685,NC(=N)c1ccc(cc1)CCCCCCCCF,-5.3
Virtual_Drug_09709,NC(=N)c1ccc(cc1)CCCCCO,-5.3
Virtual_Drug_02493,NC(=N)c1ccc(cc1)CCCCCN,-5.3
Virtual_Drug_06160,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_06157,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_06152,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_06151,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_02112,NC(=N)c1ccc(cc1)CCCCO,-5.3
Virtual_Drug_06106,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_02063,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_02053,NC(=N)c1ccc(cc1)CCCCCO,-5.3
Virtual_Drug_00243,NC(=N)c1ccc(cc1)CCCCCCCCCl,-5.3
Virtual_Drug_09676,NC(=N)c1ccc(cc1)CCCCCN,-5.3
Virtual_Drug_09670,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_09694,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_09693,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_09691,NC(=N)c1ccc(cc1)CCN,-5.3
Virtual_Drug_04150,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_06824,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_02069,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_06856,NC(=N)c1ccc(cc1)CCCCCN,-5.3
Virtual_Drug_06084,NC(=N)c1ccc(cc1)CCCCCN,-5.3
Virtual_Drug_06104,NC(=N)c1ccc(cc1)CCCCCN,-5.3
Virtual_Drug_06113,NC(=N)c1ccc(cc1)CCCCCCCCF,-5.3
Virtual_Drug_02559,NC(=N)c1ccc(cc1)CCCCCO,-5.3
Virtual_Drug_06872,NC(=N)c1ccc(cc1)CCCCN,-5.3
Virtual_Drug_06896,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_06883,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_02046,NC(=N)c1ccc(cc1)CCCCCCCCCl,-5.3
Virtual_Drug_02039,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_03792,NC(=N)c1ccc(cc1)CCCCCCO,-5.3
Virtual_Drug_04208,NC(=N)c1ccc(cc1)CCN,-5.3
Virtual_Drug_04203,NC(=N)c1ccc(cc1)CCCCO,-5.3
Virtual_Drug_09663,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_00252,NC(=N)c1ccc(cc1)CCCCCCCCF,-5.3
Virtual_Drug_02527,NC(=N)c1ccc(cc1)CCCCCO,-5.3
Virtual_Drug_02522,NC(=N)c1ccc(cc1)CCCCCF,-5.3
Virtual_Drug_02518,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_02515,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_02554,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_06072,NC(=N)c1ccc(cc1)CCN,-5.3
Virtual_Drug_02012,NC(=N)c1ccc(cc1)CCCCO,-5.3
Virtual_Drug_02004,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_06035,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_09628,NC(=N)c1ccc(cc1)CCCCCCCCO,-5.3
Virtual_Drug_09621,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_09641,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_00269,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_02536,NC(=N)c1ccc(cc1)CCCCO,-5.3
Virtual_Drug_06096,NC(=N)c1ccc(cc1)CCCCN,-5.3
Virtual_Drug_06093,NC(=N)c1ccc(cc1)CCCCCCN,-5.3
Virtual_Drug_06923,NC(=N)c1ccc(cc1)CCCCCCO,-5.3
Virtual_Drug_02032,NC(=N)c1ccc(cc1)CCCCCCCCl,-5.3
Virtual_Drug_02026,NC(=N)c1ccc(cc1)CCCCCO,-5.3
Virtual_Drug_02587,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_02586,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_07006,NC(=N)c1ccc(cc1)CCN,-5.3
Virtual_Drug_06998,NC(=N)c1ccc(cc1)CCCCCN,-5.3
Virtual_Drug_04198,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_04212,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_03765,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_09586,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_09614,NC(=N)c1ccc(cc1)CCCCO,-5.3
Virtual_Drug_09611,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_02566,NC(=N)c1ccc(cc1)CCN,-5.3
Virtual_Drug_06056,NC(=N)c1ccc(cc1)CCCCCCCCO,-5.3
Virtual_Drug_06947,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_06969,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_06983,NC(=N)c1ccc(cc1)CCCCCCCCO,-5.3
Virtual_Drug_01996,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_09575,NC(=N)c1ccc(cc1)CCCCO,-5.3
Virtual_Drug_09574,NC(=N)c1ccc(cc1)CCCCCCCCCl,-5.3
Virtual_Drug_09573,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_00304,NC(=N)c1ccc(cc1)CCCCCCO,-5.3
Virtual_Drug_00290,NC(=N)c1ccc(cc1)CCO,-5.3
Virtual_Drug_09595,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_07019,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_07015,NC(=N)c1ccc(cc1)CCO,-5.3
Virtual_Drug_07010,NC(=N)c1ccc(cc1)CCCCCN,-5.3
Virtual_Drug_01959,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_01955,NC(=N)c1ccc(cc1)CCCCCCCCCl,-5.3
Virtual_Drug_07034,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_07031,NC(=N)c1ccc(cc1)CCO,-5.3
Virtual_Drug_05971,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_02588,NC(=N)c1ccc(cc1)CCCCCN,-5.3
Virtual_Drug_09557,NC(=N)c1ccc(cc1)CCCCCO,-5.3
Virtual_Drug_00319,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_00315,NC(=N)c1ccc(cc1)CCN,-5.3
Virtual_Drug_00313,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_09584,NC(=N)c1ccc(cc1)CCCCCN,-5.3
Virtual_Drug_09580,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_05969,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_02604,NC(=N)c1ccc(cc1)CCCCO,-5.3
Virtual_Drug_07051,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_07041,NC(=N)c1ccc(cc1)CCCCCCCCF,-5.3
Virtual_Drug_01946,NC(=N)c1ccc(cc1)CCCCO,-5.3
Virtual_Drug_01945,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_04226,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_03751,NC(=N)c1ccc(cc1)CCCCCN,-5.3
Virtual_Drug_04252,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_05936,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_03737,NC(=N)c1ccc(cc1)CCCCCCCCCl,-5.3
Virtual_Drug_03731,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_04270,NC(=N)c1ccc(cc1)CCCCCN,-5.3
Virtual_Drug_04264,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_09531,NC(=N)c1ccc(cc1)CCCCCCO,-5.3
Virtual_Drug_09522,NC(=N)c1ccc(cc1)CCCCCCCCCl,-5.3
Virtual_Drug_05947,NC(=N)c1ccc(cc1)CCCCO,-5.3
Virtual_Drug_05943,NC(=N)c1ccc(cc1)CCCCCN,-5.3
Virtual_Drug_05939,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_05968,NC(=N)c1ccc(cc1)CCCCO,-5.3
Virtual_Drug_05953,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_02624,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_07074,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_00335,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_06585,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_06580,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_02232,NC(=N)c1ccc(cc1)CCCCCCCCCl,-5.3
Virtual_Drug_02229,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_04052,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_03858,NC(=N)c1ccc(cc1)CCCCO,-5.3
Virtual_Drug_04080,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_09851,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_09845,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_00126,NC(=N)c1ccc(cc1)CCCCCCCCO,-5.3
Virtual_Drug_02263,NC(=N)c1ccc(cc1)CCCCN,-5.3
Virtual_Drug_06513,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_06544,NC(=N)c1ccc(cc1)CCCCCN,-5.3
Virtual_Drug_06543,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_02249,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_07154,NC(=N)c1ccc(cc1)CCO,-5.3
Virtual_Drug_00355,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_09511,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_04248,NC(=N)c1ccc(cc1)CCO,-5.3
Virtual_Drug_04246,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_05922,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_02638,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_02633,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_07107,NC(=N)c1ccc(cc1)CCCCCN,-5.3
Virtual_Drug_07132,NC(=N)c1ccc(cc1)CCCCCN,-5.3
Virtual_Drug_07129,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_01926,NC(=N)c1ccc(cc1)CCCCN,-5.3
Virtual_Drug_01924,NC(=N)c1ccc(cc1)CCN,-5.3
Virtual_Drug_01918,NC(=N)c1ccc(cc1)CCO,-5.3
Virtual_Drug_07189,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_01883,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_05874,NC(=N)c1ccc(cc1)CCCCO,-5.3
Virtual_Drug_02663,NC(=N)c1ccc(cc1)CCCCN,-5.3
Virtual_Drug_07173,NC(=N)c1ccc(cc1)CCCCCCO,-5.3
Virtual_Drug_00369,NC(=N)c1ccc(cc1)CCCCCN,-5.3
Virtual_Drug_03725,NC(=N)c1ccc(cc1)CCCCCN,-5.3
Virtual_Drug_03717,NC(=N)c1ccc(cc1)CCCCCN,-5.3
Virtual_Drug_03716,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_09484,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_05903,NC(=N)c1ccc(cc1)CCCCO,-5.3
Virtual_Drug_05898,NC(=N)c1ccc(cc1)CCCCCCCF,-5.3
Virtual_Drug_05893,NC(=N)c1ccc(cc1)CCCCCCN,-5.3
Virtual_Drug_02644,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_05796,NC(=N)c1ccc(cc1)CCCCO,-5.3
Virtual_Drug_05795,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_02696,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_02691,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_01826,NC(=N)c1ccc(cc1)CCCCCN,-5.3
Virtual_Drug_01825,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_04293,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_03704,NC(=N)c1ccc(cc1)CCCCCCN,-5.3
Virtual_Drug_04316,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_04311,NC(=N)c1ccc(cc1)CCCCCCl,-5.3
Virtual_Drug_09460,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_00377,NC(=N)c1ccc(cc1)CCN,-5.3
Virtual_Drug_07190,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_05809,NC(=N)c1ccc(cc1)CCCCCN,-5.3
Virtual_Drug_02688,NC(=N)c1ccc(cc1)CCO,-5.3
Virtual_Drug_02683,NC(=N)c1ccc(cc1)CCCCCCCCl,-5.3
Virtual_Drug_07270,NC(=N)c1ccc(cc1)CCCCN,-5.3
Virtual_Drug_07269,NC(=N)c1ccc(cc1)CCCCCO,-5.3
Virtual_Drug_07267,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_01802,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_04332,NC(=N)c1ccc(cc1)CCCCCN,-5.3
Virtual_Drug_04365,NC(=N)c1ccc(cc1)CCCCCN,-5.3
Virtual_Drug_09425,NC(=N)c1ccc(cc1)CCCCO,-5.3
Virtual_Drug_09448,NC(=N)c1ccc(cc1)CCCCCCCCF,-5.3
Virtual_Drug_00398,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_00393,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_07229,NC(=N)c1ccc(cc1)CN,-5.3
Virtual_Drug_07251,NC(=N)c1ccc(cc1)CO,-5.3
Virtual_Drug_05785,NC(=N)c1ccc(cc1)CN,-5.3
